Village Name,Panchayat Name,Block Name,District Name,State Name,ODF Declaration Status,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
AGGAMPUR (38388),GRA ( 19353 ),ANANDPUR SAHIB ( 332 ),RUPNAGAR ( 42 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
HAZIPUR (38554),HAJIPUR ( 19354 ),ANANDPUR SAHIB ( 332 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
HUMBEWAL (38565),HAMBEWAL ( 19355 ),ANANDPUR SAHIB ( 332 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
HARSHABELA (38531),HARSA BELA ( 19356 ),ANANDPUR SAHIB ( 332 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
THALON (38588),HETHLA THALUH ( 260918 ),ANANDPUR SAHIB ( 332 ),RUPNAGAR ( 42 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
JHAJAR (38402),JAJJAR ( 277842 ),ANANDPUR SAHIB ( 332 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
JANDLA (38579),JANDLA ( 19357 ),ANANDPUR SAHIB ( 332 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
JANDLA (38579),JANDLA UPPER ( 277840 ),ANANDPUR SAHIB ( 332 ),RUPNAGAR ( 42 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
JHINJRI (38420),JHINJRI ( 19360 ),ANANDPUR SAHIB ( 332 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
JHINJRI (38420),JHINJRI LOWER ( 260900 ),ANANDPUR SAHIB ( 332 ),RUPNAGAR ( 42 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
JINDBARI (38586),JINDBARI ( 19361 ),ANANDPUR SAHIB ( 332 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
